Key,Context,Example,Source,ja
,,,Boss Damage +{number1}%,ボスダメージ +{number1}%
,,,BUY,購入
,,,BUY WIN,Winを購入
,,,Change Character,キャラクター変更
,,,CHECK,確認
,,,Choose a Stage for this Run,今回のステージを選択
,,,CLAIM,受け取る
,,,Coming Soon,近日公開
,,,COMING SOON,近日公開
,,,Daily,デイリー
,,,Daily Rewards,デイリー報酬
,,,DAILY STRENGTH RANKING,デイリー 強さランキング
,,,Day {number1},{number1}日目
,,,Day {number1} • READY,{number1}日目 • 準備OK
,,,Dumbbells,ダンベル
,,,Electric,エレクトリック
,,,ENTER,入る
,,,EQUIP,装備
,,,Equip,装備
,,,Equipment save failed. Please retry BEST EQUIP.,装備を保存できませんでした。もう一度ベスト装備を押してください。
,,,Equipped,装備中
,,,EQUIPPING...,装備中...
,,,ERROR,エラー
,,,Exclusive Aura,限定オーラ
,,,Free,無料
,,,Game Pass,ゲームパス
,,,INVENTORY,インベントリ
,,,Inventory,インベントリ
,,,Inventory is loading. Please reopen.,インベントリを読み込み中です。開き直してください。
,,,Item + Aura,アイテム + オーラ
,,,Item ×{number1},アイテム ×{number1}
,,,Items,アイテム
,,,JOIN COMMUNITY,コミュニティに参加
,,,"Join our community for
Win +3 and Item ×1!","コミュニティに参加して
Win +3とアイテム ×1をゲット！"
,,,LEVEL UP!,レベルアップ！
,,,Limited Stock,数量限定
,,,Loading player data...,プレイヤーデータを読み込み中...
,,,LOADING...,読み込み中...
,,,LOCKED,ロック中
,,,"LOCKED
Clear World 1","ロック中
ワールド1をクリア"
,,,LOCKED!,ロック中！
,,,LV {number1},Lv.{number1}
,,,Lv.{number1},Lv.{number1}
,,,MAX,最大
,,,MERGE,マージ
,,,Merge,マージ
,,,Merge complete.,マージ完了！
,,,Merge failed. Please try again.,マージに失敗しました。もう一度お試しください。
,,,MERGING…,マージ中...
,,,Merging…,マージ中...
,,,MISS,ハズレ
,,,NEED WIN,Winが必要
,,,NO,いいえ
,,,No items owned,所持アイテムなし
,,,No ranking data yet,ランキングデータはまだありません
,,,None equipped,未装備
,,,Not enough identical items,同じアイテムが足りません
,,,Not enough Win,Winが足りません
,,,"NOT ENOUGH WIN!
Need {number1} Win","Winが足りません！
必要：{number1} Win"
,,,OP Weapon,最強武器
,,,Open,開く
,,,OWNED,所有済み
,,,Ownership check unavailable. Please try again.,所有確認ができません。もう一度お試しください。
,,,PACK,パック
,,,Please try again,もう一度お試しください
,,,Please try again.,もう一度お試しください。
,,,PLEASE WAIT,お待ちください
,,,Please wait and try again.,少し待ってからもう一度お試しください。
,,,Please wait.,お待ちください。
,,,"PLEASE WAIT...
Data is saving","お待ちください...
データを保存中です"
,,,"PLEASE WAIT...
Inventory is loading","お待ちください...
インベントリを読み込み中です"
,,,Please wait…,お待ちください...
,,,Potions ×{number1},ポーション ×{number1}
,,,Premium Speed,プレミアムスピード
,,,Processing...,処理中...
,,,Product details,商品の詳細
,,,PURCHASE FAILED,購入に失敗しました
,,,Purchase unavailable.,現在購入できません。
,,,Purchase Win with Robux,RobuxでWinを購入
,,,Rank,順位
,,,READY,準備OK
,,,REBIRTH,再生
,,,Rebirth,再生
,,,Rebirth resets Strength and Level,再生すると強さとレベルがリセットされます
,,,REBIRTH!,再生！
,,,Recommended Lv. {number1},推奨 Lv.{number1}
,,,REDEEM,受け取る
,,,Result item limit reached,完成アイテムの所持上限です
,,,Retrying...,再試行中...
,,,Rewards,報酬
,,,Save failed. Please try again.,保存に失敗しました。もう一度お試しください。
,,,SAVE PENDING,保存待ち
,,,Saving. Please wait.,保存中です。お待ちください。
,,,SAVING...,保存中...
,,,Secret Potion,シークレットポーション
,,,Select an item to equip,装備するアイテムを選択
,,,Select an owned dumbbell to equip,所持ダンベルを選んで装備
,,,Shop,ショップ
,,,Shop Door,ショップ入口
,,,Skip,スキップ
,,,Speed,スピード
,,,Speed Boost,スピードブースト
,,,STAGE,ステージ
,,,STAGE {number1},ステージ {number1}
,,,Stage {number1},ステージ {number1}
,,,Strength,強さ
,,,Strength Potion ({number1} sec),強さポーション（{number1}秒）
,,,Strength ×{number1},強さ ×{number1}
,,,Teleporter,テレポーター
,,,This item cannot be merged,このアイテムはマージできません
,,,Time Rewards,時間報酬
,,,TOTAL STRENGTH RANKING,総合 強さランキング
,,,Training Potion ({number1} sec),トレーニングポーション（{number1}秒）
,,,Training ×{number1},トレーニング ×{number1}
,,,Training: {number1} seconds,トレーニング：{number1}秒
,,,Travel to World 2?,ワールド2へ移動しますか？
,,,Treadmill +{number1}x,トレッドミル +{number1}倍
,,,TRY AGAIN,もう一度
,,,Unable to load ranking,ランキングを読み込めません
,,,Unknown Key,謎の鍵
,,,UNLOCK ALL,すべて解除
,,,VIEW PACK,パックを見る
,,,VIP ONLY,VIP限定
,,,VIP • Daily bonus,VIP • デイリーボーナス
,,,Waiting for save…,保存を待っています...
,,,Win,Win
,,,Win  {number1},Win  {number1}
,,,Win +{number1},Win +{number1}
,,,Win purchases coming soon,Win購入は近日公開
,,,WORLD 1 MAX,ワールド1 最大
,,,WORLD 1 SKIP,ワールド1 スキップ
,,,WORLD 2,ワールド2
,,,x2 Win,Win 2倍
,,,YES,はい
,,,{number1} Rebirth Required,再生{number1}回必要
,,,Rebirth {number1} Required,再生{number1}回必要
,,,{number1} Robux,{number1} Robux
,,,{number1} Win,{number1} Win
,,,×2 WINS,Win ×2
,,,×{number1} Strength,強さ ×{number1}
,,,EQUIPPED,装備中
,,,Normal Dumbbell {number1},通常ダンベル {number1}
,,,Pink Aura,ピンクオーラ
,,,Purple Aura,パープルオーラ
,,,Yellow Aura,イエローオーラ
,,,Green Aura,グリーンオーラ
,,,Blue Aura,ブルーオーラ
,,,Red Aura,レッドオーラ
,,,VIP Aura,VIPオーラ
,,,Secret Aura,シークレットオーラ
,,,Protein,プロテイン
,,,Glove,グローブ
,,,Belt,トレーニングベルト
